"","Participant.ID","Completed","Pre.Post","Score","Difference","Provider","Service","Earlier.post.assessments.not.included.in.the.calculation.of.difference.scores"
"1","123651","02/15/2023 15:20:00 (MST)","Pre",83.33,NA,"LSI","CSS",0
"2","121292","09/22/2022 05:26:00 (MST)","Pre",59.26,NA,"LSI","EMP",0
"3","126510","06/13/2023 11:47:09 (MST)","Pre",86.67,NA,"RTI","ISA",0
"4","122070","10/18/2022 10:37:31 (MST)","Pre",40,NA,"LSI","JOBEX",0
"5","127633","08/22/2023 10:44:51 (MST)","Pre",33.33,NA,"USU","JS",0
"6","127748","01/22/2024 16:27:06 (MST)","Post",87.5,0,"CCC","CSS",0
"7","133136","05/22/2024 11:22:28 (MST)","Post",66.67,10,"LSI","ISA",0
"8","131957","05/13/2024 10:32:37 (MST)","Post",90.48,30.96,"LSI","ILOM",0
"9","126685","10/24/2023 14:15:30 (MST)","Pre",51.52,NA,"LSI","FL",0
"10","116244","03/02/2022 00:03:00 (MST)","Pre",87.5,NA,"LSI","WBLE",0
"11","118561","09/12/2022 00:13:00 (MST)","Post",62.5,8.33,"CCC","CSS",0
"12","115911","12/22/2021 02:47:08 (MST)","Pre",35.56,NA,"LSI","JOBEX",0
"13","125273","05/11/2023 15:35:30 (MST)","Pre",29.63,NA,"CCC","JS",0
"14","128014","08/28/2023 11:28:09 (MST)","Pre",66.67,NA,"SPA","ILOM",0
"15","114096","11/01/2023 12:39:06 (MST)","Post",90.48,4.77,"NSSD","CPSO",0
"16","125270","11/09/2023 15:59:34 (MST)","Post",86.67,0,"CCC","JOBEX",0
"17","124146","12/06/2023 15:43:33 (MST)","Pre",44.44,NA,"LSI","JOBEX",0
"18","120927","10/11/2022 03:48:22 (MST)","Pre",86.67,NA,"LSI","JOBEX",0
"19","109190","05/20/2022 04:08:09 (MST)","Post",55.56,0,"LSI","JOBEX",0
"20","128300","04/17/2024 13:52:00 (MST)","Post",53.33,2.22,"SUU","JOBEX",0
"21","126777","10/25/2023 11:30:59 (MST)","Pre",70.37,NA,"Turn","JS",0
"22","124761","09/08/2023 13:25:24 (MST)","Post",86.67,28.89,"LSI","JOBEX",0
"23","121585","03/28/2023 16:56:16 (MST)","Pre",53.33,NA,"Turn","ISA",0
"24","121170","09/13/2022 01:43:45 (MST)","Pre",44.44,NA,"SUU","JOBEX",0
"25","128930","09/27/2023 09:53:31 (MST)","Pre",44.44,NA,"LSI","JS",0
"26","109049","07/19/2022 02:36:00 (MST)","Pre",50,NA,"USU","WBLE",0
"27","117806","05/26/2022 05:39:49 (MST)","Post",76.67,20,"LSI","ISA",0
"28","121921","05/10/2024 16:22:49 (MST)","Post",70,0,"LSI","ISA",0
"29","115750","02/21/2022 05:24:47 (MST)","Post",63.64,9.09,"LSI","FL",0
"30","124628","06/20/2023 13:25:44 (MST)","Post",37.04,-7.4,"LSI","JS",1
"31","126564","04/17/2024 12:26:00 (MST)","Post",80,11.11,"Turn","JOBEX",0
"32","115969","05/02/2022 01:31:00 (MST)","Post",70.83,-4.17,"LSI","CSS",0
"33","131781","05/30/2024 12:00:33 (MST)","Post",95.83,20.83,"LSI","WBLE",0
